Assembly,Parliamentary Year,Term,Session No.,Sitting No.,Representative,Bill,Bill Type,Standing Committee,
National,2,14,14,2,"Syed Waseem Hussain[MQM]
Mohammad Salman Khan Baloch[MQM]
S. A. Iqbal Qadri[MQM]
Mehboob Alam[MQM]
Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Muhammad Rehan Hashmi[MQM]
Abdul Rashid Godil[MQM]
Muhammad Muzammil Qureshi[MQM]
Syed Asif Hasnain[MQM]
Iqbal Muhammad Ali Khan[MQM]
Sajid Ahmed[MQM]
Kishwer Zehra[MQM]
Saman Sultana Jafri[MQM]
Dr. Nikhat Shakeel Khan[MQM]
Sanjay Perwani[MQM]","The Constitution (Twenty Fourth Amendment) Bill, 2014 (Amendment in Articles 51, 63 and 106)
[Support]",Private,Not Applicable,
National,2,14,14,2,"Imran Khattak[PTI]
Ali Muhammad Khan[PTI]
Aqibullah[PTI]
Amirullah[PTI]
Qaisar Jamal[PTI]
Asad Umar[PTI]
Imran Khan[PTI]
Rai Hasan Nawaz Khan[PTI]
Dr. Arif Alvi[PTI]
Dr. Shireen Mehrunnisa Mazari[PTI]","The Governors Houses Conversion Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,14,2,"Ali Muhammad Khan[PTI]
Shehryar Afridi[PTI]
Junaid Akbar[PTI]
Shafqat Mehmood[PTI]
Makhdoom Shah Mahmood Qureshi[PTI]
Dr. Arif Alvi[PTI]
Dr. Shireen Mehrunnisa Mazari[PTI]
Munaza Hassan[PTI]
Sajida Begum[PTI]
Aaisha Gulalai[PTI]","The Code of Civil Procedure (Amendment) Bill, 2014 (Substitution of section 89-A)
[Support]",Private,Not Applicable,
National,2,14,14,2,Jamshaid Ahmad Dasti[IND],"The National Database and Registration Authority (Amendment) Bill, 2014 (Amendment in section 10)
[Support]",Private,Not Applicable,
National,2,14,14,2,"Umar Ayub Khan[PML-N]
Muhammad Raza Hayat Hiraj[PML-N]
Ghous Bux Khan Mahar[PML-F]
Dr. Azra Fazal Pecheho[PPPP]
Syed Qazim Ali Shah[PML-F]
Nawab Muhammad Yousuf Talpur[PPPP]
Imran Zafar Leghari[PPPP]
Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Mehmood Khan Achakzai[PKMAP]
Ms. Nafisa Shah[PPPP]
Dr. Ramesh Kumar Vankwani[PML-N]
Sanjay Perwani[MQM]","The Constitution (Amendment) Bill, 2014 (Amendment in Articles 51 and 106)
[Support]",Private,Not Applicable,
National,2,14,14,2,Naeema Kishwar Khan[JUI],"The Constitution (Amendment) Bill, 2014 (Amendment in Articles 51 and 228)
[Support]",Private,Not Applicable,
National,2,14,14,2,"S. A. Iqbal Qadri[MQM]
Muhammad Rehan Hashmi[MQM]
Kishwer Zehra[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Transplantation of Human Organs and Tissues (Amendment) Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,14,3,Mohammad Ishaq Dar[PML-N],"The Equity Participation Fund (Repeal) Bill, 2014
[Support]",Government,"Finance, Revenue, Economic Affairs, Statistics and Privatization",
National,2,14,14,3,Mohammad Ishaq Dar[PML-N],"The Foreign Exchange Regulation (Amendment) Bill, 2014
[Support]",Government,"Finance, Revenue, Economic Affairs, Statistics and Privatization",
National,2,14,14,4,Pervaiz Rashid[PML-N],"The Legal Practitioners and Bar Councils (Amendment) Bill, 2014
[Support]",Government,"Law, Justice and Human Rights",
National,2,14,14,5,Sikandar Hayat Khan Bosan[PML-N],"The Seed (Amendment) Bill, 2014
[Support]",Government,National Food Security and Research,
National,2,14,14,7,Maiza Hameed[PML-N],"The Torture, Custodial death and Custodial Rape (Punishment and Prevention) Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,14,7,Mian Abdul Manan[PML-N],"The Islamabad Rent Restriction (Amendment) Bill, 2014 (Amendment in sections, 2, 5, 21, 23, substitution of sections 8 and 10 and insertion of new sections in Ordinance IV of 2001)
[Support]",Private,Not Applicable,
National,2,14,14,7,Khalida Mansoor[PML-N],"The Civil Servants (Amendment) Bill, 2014 (Amendment in section 5)
[Support]",Private,Not Applicable,
National,2,14,14,7,"S. A. Iqbal Qadri[MQM]
Sufyan Yousuf[MQM]
Abdul Rashid Godil[MQM]
Iqbal Muhammad Ali Khan[MQM]
Sajid Ahmed[MQM]","The Criminal Law (Amendment) Bill, 2014 (Insertion of new sections 297-A and 297-B, Amendment in Schedule II)
[Support]",Private,Not Applicable,
National,2,14,14,7,"Dr. Azra Fazal Pecheho[PPPP]
Shazia Marri[PPPP]
Ms. Nafisa Shah[PPPP]","The Election Laws (Amendment) Bill, 2014 (Amendment in section 13 and 49, insertion of new section 51A and 7C)
[Support]",Private,Not Applicable,
National,2,14,14,7,"Sher Akbar Khan[JI]
Sahibzada Tariq Ullah[JI]
Sahib Zada Muhammad Yaqub[JI]
Aisha Syed[JI]","The Protection of Journalists Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,14,7,"Shaikh Salahuddin[MQM]
Muhammad Muzammil Qureshi[MQM]
Kishwer Zehra[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Criminal Law (Amendment) Bill, 2014 (Substitution of section 297 and amendment in second schedule)
[Support]",Private,Not Applicable,
National,2,14,14,7,"Syed Waseem Hussain[MQM]
Mohammad Salman Khan Baloch[MQM]
S. A. Iqbal Qadri[MQM]
Mehboob Alam[MQM]
Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Muhammad Rehan Hashmi[MQM]
Abdul Rashid Godil[MQM]
Muhammad Muzammil Qureshi[MQM]
Syed Asif Hasnain[MQM]
Iqbal Muhammad Ali Khan[MQM]
Sajid Ahmed[MQM]
Kishwer Zehra[MQM]
Saman Sultana Jafri[MQM]
Dr. Nikhat Shakeel Khan[MQM]
Sanjay Perwani[MQM]","The Constitution (Twenty Fourth Amendment) Bill, 2014 (Amendment in Articles 51, 63 and 106)
[Support]",Private,Not Applicable,
National,2,14,14,7,"Imran Khattak[PTI]
Ali Muhammad Khan[PTI]
Aqibullah[PTI]
Amirullah[PTI]
Qaisar Jamal[PTI]
Asad Umar[PTI]
Imran Khan[PTI]
Rai Hasan Nawaz Khan[PTI]
Dr. Arif Alvi[PTI]
Dr. Shireen Mehrunnisa Mazari[PTI]","The Governors Houses Conversion Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,14,7,"Ali Muhammad Khan[PTI]
Shehryar Afridi[PTI]
Junaid Akbar[PTI]
Shafqat Mehmood[PTI]
Makhdoom Shah Mahmood Qureshi[PTI]
Dr. Arif Alvi[PTI]
Dr. Shireen Mehrunnisa Mazari[PTI]
Munaza Hassan[PTI]
Sajida Begum[PTI]
Aaisha Gulalai[PTI]","The Code of Civil Procedure (Amendment) Bill, 2014 (Substitution of section 89-A)
[Support]",Private,Not Applicable,
National,2,14,14,7,Jamshaid Ahmad Dasti[IND],"The National Database and Registration Authority (Amendment) Bill, 2014 (Amendment in section 10)
[Support]",Private,Not Applicable,
National,2,14,14,7,"Umar Ayub Khan[PML-N]
Muhammad Raza Hayat Hiraj[PML-N]
Ghous Bux Khan Mahar[PML-F]
Dr. Azra Fazal Pecheho[PPPP]
Syed Qazim Ali Shah[PML-F]
Nawab Muhammad Yousuf Talpur[PPPP]
Imran Zafar Leghari[PPPP]
Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Mehmood Khan Achakzai[PKMAP]
Ms. Nafisa Shah[PPPP]
Dr. Ramesh Kumar Vankwani[PML-N]
Sanjay Perwani[MQM]","The Constitution (Amendment) Bill, 2014 (Amendment in Articles 51 and 106)
[Support]",Private,Not Applicable,
National,2,14,14,7,Naeema Kishwar Khan[JUI],"The Constitution (Amendment) Bill, 2014 (Amendment in Articles 51 and 228)
[Support]",Private,Not Applicable,
National,2,14,14,7,"S. A. Iqbal Qadri[MQM]
Muhammad Rehan Hashmi[MQM]
Kishwer Zehra[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Transplantation of Human Organs and Tissues (Amendment) Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,15,2,Mohammad Khan Sherani[JUI],"The Compulsory Education of Arabic Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,15,2,Jamshaid Ahmad Dasti[IND],"The Constitution (Amendment) Bill, 2014 (Amendment in Article 1)
[Support]",Private,Not Applicable,
National,2,14,15,2,Mrs. Belum Hasnain[PPPP],"The Pakistan Private Courier Services Regulatory Authority of Pakistan Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,15,2,"Agha Muhammad[JUI]
Ameer Zaman[JUI]
Naeema Kishwar Khan[JUI]
Aasiya Nasir[JUI]","The Constitution (Amendment) Bill, 2014 (Amendment in Article 51 and 106)
[Support]",Private,"Law, Justice and Human Rights",
National,2,14,15,2,"Shahida Akhtar Ali[JUI]
Mrs. Aliya Kamran[JUI]","The Criminal Law (Amendment) Bill, 2014 (Insertion of new section 297-A and amendment in the second schedule)
[Support]",Private,Interior and Narcotics Control,
National,2,14,15,2,"Umar Ayub Khan[PML-N]
Muhammad Raza Hayat Hiraj[PML-N]
Ghous Bux Khan Mahar[PML-F]
Dr. Azra Fazal Pecheho[PPPP]
Syed Qazim Ali Shah[PML-F]
Nawab Muhammad Yousuf Talpur[PPPP]
Imran Zafar Leghari[PPPP]
Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Mehmood Khan Achakzai[PKMAP]
Ms. Nafisa Shah[PPPP]
Dr. Ramesh Kumar Vankwani[PML-N]
Sanjay Perwani[MQM]","The Constitution (Amendment) Bill, 2014 (Amendment in Articles 51 and 106)
[Support]",Private,"Law, Justice and Human Rights",
National,2,14,15,2,"S. A. Iqbal Qadri[MQM]
Muhammad Rehan Hashmi[MQM]
Kishwer Zehra[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Transplantation of Human Organs and Tissues (Amendment) Bill, 2014
[Support]",Private,Cabinet Secretariat,
National,2,14,15,2,"Agha Muhammad[JUI]
Ameer Zaman[JUI]
Naeema Kishwar Khan[JUI]
Aasiya Nasir[JUI]","The Constitution (Amendment) Bill, 2014 (Amendment in Article 251)
[Support]",Private,"Law, Justice and Human Rights",
National,2,14,15,2,"Dr. Azra Fazal Pecheho[PPPP]
Shazia Marri[PPPP]
Ms. Nafisa Shah[PPPP]","The Election Laws (Amendment) Bill, 2014 (Amendment in section 13 and 49, insertion of new section 51A and 7C)
[Support]",Private,Parliamentary Affairs,
National,2,14,15,2,Mian Abdul Manan[PML-N],"The Islamabad Rent Restriction (Amendment) Bill, 2014 (Amendment in sections, 2, 5, 21, 23, substitution of sections 8 and 10 and insertion of new sections in Ordinance IV of 2001)
[Support]",Private,Interior and Narcotics Control,
National,2,14,15,2,Khalida Mansoor[PML-N],"The Civil Servants (Amendment) Bill, 2014 (Amendment in section 5)
[Support]",Private,Cabinet Secretariat,
National,2,14,15,2,"Imran Khattak[PTI]
Ali Muhammad Khan[PTI]
Aqibullah[PTI]
Amirullah[PTI]
Qaisar Jamal[PTI]
Asad Umar[PTI]
Imran Khan[PTI]
Rai Hasan Nawaz Khan[PTI]
Dr. Arif Alvi[PTI]
Dr. Shireen Mehrunnisa Mazari[PTI]","The Governors Houses Conversion Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,15,2,"Ali Muhammad Khan[PTI]
Shehryar Afridi[PTI]
Junaid Akbar[PTI]
Shafqat Mehmood[PTI]
Makhdoom Shah Mahmood Qureshi[PTI]
Dr. Arif Alvi[PTI]
Dr. Shireen Mehrunnisa Mazari[PTI]
Munaza Hassan[PTI]
Sajida Begum[PTI]
Aaisha Gulalai[PTI]","The Code of Civil Procedure (Amendment) Bill, 2014 (Substitution of section 89-A)
[Support]",Private,Not Applicable,
National,2,14,15,2,"Syed Waseem Hussain[MQM]
Mohammad Salman Khan Baloch[MQM]
S. A. Iqbal Qadri[MQM]
Mehboob Alam[MQM]
Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Muhammad Rehan Hashmi[MQM]
Abdul Rashid Godil[MQM]
Muhammad Muzammil Qureshi[MQM]
Syed Asif Hasnain[MQM]
Iqbal Muhammad Ali Khan[MQM]
Sajid Ahmed[MQM]
Kishwer Zehra[MQM]
Saman Sultana Jafri[MQM]
Dr. Nikhat Shakeel Khan[MQM]
Sanjay Perwani[MQM]","The Constitution (Twenty Fourth Amendment) Bill, 2014 (Amendment in Articles 51, 63 and 106)
[Support]",Private,"Law, Justice and Human Rights",
National,2,14,15,2,Jamshaid Ahmad Dasti[IND],"The National Database and Registration Authority (Amendment) Bill, 2014 (Amendment in section 10)
[Support]",Private,Not Applicable,
National,2,14,15,2,"Shaikh Salahuddin[MQM]
Muhammad Muzammil Qureshi[MQM]
Kishwer Zehra[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Criminal Law (Amendment) Bill, 2014 (Substitution of section 297 and amendment in second schedule)
[Support]",Private,Interior and Narcotics Control,
National,2,14,15,2,"Sher Akbar Khan[JI]
Sahibzada Tariq Ullah[JI]
Sahib Zada Muhammad Yaqub[JI]
Aisha Syed[JI]","The Protection of Journalists Bill, 2014
[Support]",Private,"Information, Broadcasting and National Heritage",
National,2,14,15,2,"S. A. Iqbal Qadri[MQM]
Sufyan Yousuf[MQM]
Abdul Rashid Godil[MQM]
Iqbal Muhammad Ali Khan[MQM]
Sajid Ahmed[MQM]","The Criminal Law (Amendment) Bill, 2014 (Insertion of new sections 297-A and 297-B, Amendment in Schedule II)
[Support]",Private,Interior and Narcotics Control,
National,2,14,15,2,Maiza Hameed[PML-N],"The Torture, Custodial death and Custodial Rape (Punishment and Prevention) Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,15,4,Sheikh Aftab Ahmed[PML-N],"The Delimitation of Constituencies (Amendment) Ordinance, 2014 (No. 8 of 2014)
[Support]",Government,Parliamentary Affairs,
National,2,14,15,4,Sheikh Aftab Ahmed[PML-N],"The Electoral Rolls (Amendment) Ordinance, 2014 (No. 7 of 2014)
[Support]",Government,Parliamentary Affairs,
National,2,14,15,6,Ms. Nafisa Shah[PPPP],"The Civil Servants (Amendment) Bill, 2014
[Support]",Private,Cabinet Secretariat,
National,2,14,15,6,Maiza Hameed[PML-N],"The Torture, Custodial death and Custodial Rape (Punishment and Prevention) Bill, 2014
[Support]",Private,Interior and Narcotics Control,
National,2,14,15,7,Pervaiz Rashid[PML-N],"The Gas Infrastructure Development Cess Ordinance, 2014 (No. 6 of 2014)
[Support]",Government,Petroleum and Natural Resources,
National,2,14,16,5,Muhammad Ijaz Ahmed Ch.[PML-N],"The Constitution (Amendment) Bill, 2014 (Amendment in Article 53)
[Support]",Private,Not Applicable,
National,2,14,16,5,Jamshaid Ahmad Dasti[IND],"The National Database and Registration Authority (Amendment) Bill, 2014 (Amendment in section 10)
[Support]",Private,Not Applicable,
National,2,14,16,5,Ameer Zaman[JUI],"The Constitution (Amendment) Bill, 2014 (Amendment in Article 31)
[Support]",Private,Not Applicable,
National,2,14,16,5,Mohammad Khan Sherani[JUI],"The Compulsory Education of Arabic Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,16,5,Mrs. Belum Hasnain[PPPP],"The Pakistan Private Courier Services Regulatory Authority of Pakistan Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,16,9,Sheikh Aftab Ahmed[PML-N],"The Patents (Amendment) Bill, 2014
[Support]",Government,Not Applicable,
National,2,14,17,1,Sheikh Aftab Ahmed[PML-N],"The Patents (Amendment) Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,17,3,Pervaiz Rashid[PML-N],"The Pakistan Army (Amendment) Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,17,3,Pervaiz Rashid[PML-N],"The Constitution (Twenty-first Amendment) Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,17,5,Pervaiz Rashid[PML-N],"The Pakistan Army (Amendment) Bill, 2015",Government,Not Applicable,
National,2,14,17,5,Pervaiz Rashid[PML-N],"The Constitution (Twenty-first Amendment) Bill, 2015",Government,Not Applicable,
National,2,14,17,6,Sheikh Aftab Ahmed[PML-N],"The Patents (Amendment) Bill, 2015
[Support]",Government,Cabinet Secretariat,
National,2,14,17,10,"Mohammad Khan Sherani[JUI]
Naeema Kishwar Khan[JUI]","The Compulsory Education of Arabic Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,17,10,Mrs. Belum Hasnain[PPPP],"The Pakistan Private Courier Services Regulatory Authority of Pakistan Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,17,10,"Ameer Zaman[JUI]
Shahida Akhtar Ali[JUI]
Naeema Kishwar Khan[JUI]","The Constitution (Amendment) Bill, 2014 (Amendment in Article 31)
[Support]",Private,Not Applicable,
National,2,14,17,10,Mrs. Belum Hasnain[PPPP],"The Special Citizens Bill, 2015
[Support]",Private,Cabinet Secretariat,
National,2,14,17,10,Mir Aijaz Hussain Jakhrani[PPPP],"The Emigration (Amendment) Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,17,13,Anusha Rahman Ahmad Khan[PML-N],"The Prevention of Electronic Crimes Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,17,13,Pir Syed Saddaruddin Shah Rashdi[PML-F],"The Minimum Wages for Unskilled Workers (Amendment) Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,18,1,Mohammad Ishaq Dar[PML-N],"The Offences in Respect of Banks (Special Courts) (Amendment) Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,18,3,Mohammad Ishaq Dar[PML-N],"The Offences in Respect of Banks (Special Courts) (Amendment) Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,18,4,Pervaiz Rashid[PML-N],"The Islamabad Subordinate Judiciary Service Tribunal Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,18,5,Saira Afzal Tarar[PML-N],"The Pakistan Health Research Council Bill, 2015
[Support]",Government,"National Health Services, Regulations and Coordination",
National,2,14,18,6,Ameer Zaman[JUI],"The Constitution (Amendment) Bill, 2014
[Support]",Private,Not Applicable,
National,2,14,18,6,"Sher Akbar Khan[JI]
Sahibzada Tariq Ullah[JI]
Sahib Zada Muhammad Yaqub[JI]
Aisha Syed[JI]","The Disabled Persons (Employment and Rehabilitation) (Amendment) Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,18,6,"Ameer Zaman[JUI]
Shahida Akhtar Ali[JUI]
Naeema Kishwar Khan[JUI]","The Constitution (Amendment) Bill, 2015 (Amendment in Article 31)
[Support]",Private,Not Applicable,
National,2,14,18,6,"Sher Akbar Khan[JI]
Sahibzada Tariq Ullah[JI]
Sahib Zada Muhammad Yaqub[JI]
Aisha Syed[JI]","The Code of Civil Procedure (Amendment) Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,18,6,"Mohammad Khan Sherani[JUI]
Naeema Kishwar Khan[JUI]","The Compulsory Education of Arabic Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,18,6,Mrs. Belum Hasnain[PPPP],"The Pakistan Private Courier Services Regulatory Authority of Pakistan Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,20,1,Sikandar Hayat Khan Bosan[PML-N],"The Seed (Amendment) Bill, 2014",Government,Not Applicable,
National,2,14,20,1,Muhammad Baleegh-ur-Rehman[PML-N],"The Capital University of Science and Technology Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,20,1,Mohammad Ishaq Dar[PML-N],"The Banks (Nationalization) (Amendment) Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,20,1,Pervaiz Rashid[PML-N],"The Hindu Marriage Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,20,1,Mohammad Ishaq Dar[PML-N],"The Cost and Management Accountants (Amendment) Bill, 2015
[Support]",Government,Not Applicable,
National,2,14,20,1,Ch. Nisar Ali Khan[PML-N],"The Criminal Laws (Amendment) Bill, 2015
[Support]",Government,Interior and Narcotics Control,
National,2,14,20,2,Mohammad Ayaz Soomro[PPPP],"The Constitution (Amendment) Bill, 2015 (Amendment in Article 184)
[Support]",Private,Not Applicable,
National,2,14,20,2,Mohammad Ayaz Soomro[PPPP],"The National Accountability Ordinance (Amendment) Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,20,2,Nasir Khan Khattak[PTI],"The Royalty and Production Bonus Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,20,2,"Sher Akbar Khan[JI]
Sahibzada Tariq Ullah[JI]
Sahib Zada Muhammad Yaqub[JI]
Aisha Syed[JI]","The Disabled Persons (Employment and Rehabilitation) (Amendment) Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,20,2,Dr. Ramesh Kumar Vankwani[PML-N],"The Constitution (Amendment) Bill, 2015 (Amendment in Article 260)
[Support]",Private,Not Applicable,
National,2,14,20,2,Muhammad Raza Hayat Hiraj[PML-N],"The Constitution (Amendment) Bill, 2015 (Amendment in Article 63)
[Support]",Private,Not Applicable,
National,2,14,20,2,Dr. Ramesh Kumar Vankwani[PML-N],"The Constitution (Amendment) Bill, 2015) (Amendment in Article 63A)
[Support]",Private,Not Applicable,
National,2,14,20,2,"Sher Akbar Khan[JI]
Sahibzada Tariq Ullah[JI]
Sahib Zada Muhammad Yaqub[JI]
Aisha Syed[JI]","The Federal Witness Protection Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,20,2,Mrs. Belum Hasnain[PPPP],"The National Commission for Minorities Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,20,2,Dr. Ramesh Kumar Vankwani[PML-N],"The Constitution (Amendment) Bill, 2015 (Amendment in Article 92)
[Support]",Private,Not Applicable,
National,2,14,20,3,Ch. Nisar Ali Khan[PML-N],"The Islamabad Capital Territory Local Government Bill, 2014
[Support]",Government,Not Applicable,
National,2,14,20,6,Muhammad Raza Hayat Hiraj[PML-N],"The Constitution (Amendment) Bill, 2015 (Amendment in Article 63)
[Support]",Private,Not Applicable,
National,2,14,20,6,Zahra Wadood Fatemi[PML-N],"The Islamabad Compulsory Civic Education Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,20,6,Mohammad Ayaz Soomro[PPPP],"The National Accountability Ordinance (Amendment) Bill, 2015
[Support]",Private,Not Applicable,
National,2,14,20,6,Jamshaid Ahmad Dasti[IND],"The National Database and Registration Authority (Amendment) Bill, 2015
[Support]",Private,Not Applicable,
