"Legislator","Party","Degree","Betweenness","Closeness","Eigenvector","PageRank","Total_Bills"
"Uzma Riaz","PTI",42,0.00468413339882362,0.23874256584537,0.00459036260354687,0.00557850434068585,70
"Rana Tanveer Hussain","PML-N",10,0,0.156024430871738,0.000731583887741035,0.00313988966154867,69
"Mrs. Aliya Kamran","MMA",35,0.0306416732224288,0.240788346186804,7.65351449358493e-05,0.00787923555518503,66
"S. A. Iqbal Qadri","MQM",39,0.0130957110588654,0.212556732223903,2.0776298001551e-05,0.00901845712071669,65
"Syed Naveed Qamar","PPPP",15,0.0628926157842625,0.211278195488722,0.00559081234027643,0.00522624996447489,65
"Saman Sultana Jafri","MQM",26,0.00532734697415425,0.2079940784604,2.24445098392191e-05,0.00681691226459875,64
"Sheikh Aftab Ahmed","PML-N",5,0.00488732959801714,0.152221018418202,3.57943492451707e-09,0.00524075752155528,63
"Engineer Sabir Hussain","MQM",21,0.000129165139376167,0.181173436492585,0.000159504614835345,0.00727874456853357,63
"Dr. Abdul Hafeez Sheikh","Minister",3,0,0.0673860911270983,1.259814817282e-13,0.00341503470928039,61
"Shaikh Salahuddin","MQM",48,0.0060096259048542,0.211596385542169,2.30153345051065e-05,0.0103354995297261,60
"Azam Nazeer Tarar","PML-N",4,0.00488732959801714,0.145069695405266,1.09310432088029e-07,0.00307969064937247,59
"Asad Umar","PTI",24,0.0194390914554062,0.232231404958678,0.00221878420367447,0.00747974782055129,54
"Khawaja Muhammad Asif","PML-N",13,0.0111330227594587,0.169379144062688,0.000136996652233737,0.00436342012923631,53
"Syed Rafiullah","PPPP",6,0.00488732959801714,0.0909974093264249,1.34808748002112e-05,0.00326530814175583,52
"Dr. Shireen Mehrunnisa Mazari","PTI",25,0.00668491033196139,0.224261771747805,3.66011763092483e-05,0.00550229264688018,51
"Shaza Fatima Khawaja","PML-N",18,0.0103870845869476,0.188844086021505,6.84815715302356e-05,0.00406971095993993,51
"Qadir Khan Mandokhail","PPPP",11,0.00496150816059704,0.214667685255921,1.95063860926027e-06,0.00345152811993057,49
"Khurram Dastgir Khan","PML-N",13,0.00212941996908556,0.169993950393224,0.000172336325755395,0.00473262267385706,49
"Sajida Begum","PTI",11,0,0.111507936507937,6.00009445966636e-07,0.00356776309734844,49
"Naveed Aamir","PPPP",12,0.0332347595358957,0.21953125,6.19629539152285e-06,0.00213185298733658,48
"Dr. Fouzia Hameed","MQM",32,6.21190798455154e-05,0.147043432757718,1.66118677082629e-05,0.00667839834438297,47
"Ijaz Ahmad Shah","PTI",11,0.0461313051177936,0.2,6.32929917194554e-06,0.00255167344657613,47
"Kesoo Mal Kheeal Das","PML-N",14,0.000252133725594868,0.19609211444522,8.73475551665747e-07,0.00423132285375453,45
"Mrs. Shahida Rehmani","PPPP",14,0.000252511728884472,0.178526048284625,1.88536059601701e-05,0.00330586708428635,43
"Moulana Abdul Akbar Chitrali","MMA",29,0.0114644714656559,0.234166666666667,0.00127231365959166,0.00451305553319979,43
"Dr. Ramesh Kumar Vankwani","PTI",47,0.0674756901084852,0.248233215547703,3.15310179113816e-06,0.00518766345249678,41
"Muhammad Jamal Ud Din","MMA",17,0.00102326776704706,0.21953125,7.22308539746533e-06,0.00665595276170016,40
"Ali Muhammad Khan","PTI",22,0.0205559794565921,0.143954918032787,2.0560369932881e-05,0.00548222022344081,37
"Sajid Ahmed","MQM",29,6.98851549542872e-05,0.164906103286385,1.23753503374373e-05,0.00480093680978939,37
"Naeema Kishwar Khan","JUI",38,0.0087200564242942,0.228084415584416,3.25233055186175e-06,0.00437150406570803,37
"Shaukat Fayaz Ahmed Tarin","PTI",2,0,NA,0,0.00294117647059922,37
"Marriyum Aurangzeb","PML-N",19,0.00139327306055315,0.174968866749689,0.000850830295306572,0.0052701220551148,36
"Syed Amin ul Haque","MQM",21,0.00122681947052267,0.183300717547293,0.000102712263764583,0.00443394443231957,36
"Tahira Aurangzeb","PML-N",42,0.00239270639272546,0.214503816793893,0.000111298573512976,0.00635724910746283,36
"Mohsin Shah Nawaz Ranjha","PML-N",18,0.00143400080720329,0.168971737823211,0.00548165401924207,0.0055839311274247,35
"Noor Alam Khan","PTI",10,1.82859270674111e-06,0.179782469609725,0.0024537806026045,0.00191642148921479,35
